smiles,pIC50(M)
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2Cl)OC1(C)C,7.136677139879544
O=C(NC1CCN(C(=O)c2ccc(O)c(O)c2)CC1)c1cc(Br)c(Br)[nH]1,5.546681659952962
O=C(O)C(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,7.060480747381382
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4cc(C)c(O)c(C)c4)c(O)oc3c2)OC1(C)C,6.640164517660112
CCNC(=O)N=c1cc(-c2nc(C3CC3)cs2)c(-c2cc(-c3n[nH]c(=O)o3)cnc2N2C3CCC2CN(C)C3)c[nH]1,8.698970004336019
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)C(=O)O)cc2OC(C)C)c(Cl)c1Cl,7.42021640338319
COC(=O)CCC(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Cl)c(Cl)[nH]3)sc2c1,4.455931955649724
COC(=O)C(C)NC(=O)c1ccc(NC(=O)c2[nH]c(C)c(Cl)c2Cl)c(OCCN)c1,7.468521082957745
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2CC3CCCC(C2)N3)c[nH]1,7.853871964321762
O=C(O)c1cccc(CN2CCC(NC(=O)c3cc(Br)c(Br)[nH]3)CC2)c1,4.305394801066432
Cc1[nH]c(C(=O)Nc2ccc(C(=O)NC(C)c3n[nH]c(=O)o3)cc2OCCNC(=O)OC(C)(C)C)c(Cl)c1Cl,5.795880017344075
CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4cc(C)c(O)c(C)c4)c(O)oc3c2C)OC1(C)C,5
CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccccc4)c(O)oc3c2C)OC1(C)C,5
O=C(O)c1cn2c3c(c(F)c(F)cc3c1=O)Oc1cc([N+](=O)[O-])c(Cl)cc1-2,4.204119982655925
CCOC(=O)C(=O)N=c1[nH]c2ccc(NC(=O)c3cc(Cl)c(Cl)[nH]3)cc2s1,5.7447274948966935
CC(C)Oc1cc(NC(=O)c2cc(Br)c(Br)[nH]2)ccc1C(=O)NCC(=O)O,6.3979400086720375
COC(=O)CC(=O)N1CCC(NC(=O)c2cc(Br)c(Br)[nH]2)CC1,4.863279432843593
